"","year","geography","grade","N","vax","value","percent_surveyed","survey_type"
"460","2022-23","Arizona","Kindergarten",80814,"varicella","NReq",97.7,"Census"
"461","2022-23","Arizona","Kindergarten",80814,"varicella","94.1",97.7,"Census"
"462","2022-23","Arizona","Kindergarten",80814,"hep_b","92.9",97.7,"Census"
"463","2022-23","Arizona","Kindergarten",80814,"polio","90.3",97.7,"Census"
"464","2022-23","Arizona","Kindergarten",80814,"varicella","94.1",97.7,"Census"
"465","2022-23","Arizona","Kindergarten",80814,"mmr","89.9",97.7,"Census"
"466","2016-17","Washington","Kindergarten",87142,"mmr","90.5",98.2,"Census"
"467","2015-16","Washington","Kindergarten",86492,"mmr","91.0",97.3,"Census"
"468","2020-21","Washington","Kindergarten",74931,"mmr","94.4",100,"Census"
"469","2019-20","Washington","Kindergarten",87757,"mmr","94.4",91.9,"Census"
"470","2018-19","Washington","Kindergarten",87510,"mmr","90.8",96.9,"Census"
"471","2017-18","Washington","Kindergarten",85118,"mmr","90.6",96.9,"Census"
"472","2013-14","Washington","Kindergarten",89165,"dtap","90.3",88.5,"Voluntary response"
"473","2012-13","Washington","Kindergarten",87773,"dtap","92.4",94.7,"Census"
"474","2011-12","Washington","Kindergarten",85134,"dtap","90.9",89.1,"Voluntary Response"
"475","2010-11","Washington","Kindergarten",NA,"dtap",NA,NA,NA
"476","2021-22","Washington","Kindergarten",87256,"mmr","92.5",97.3,"Census (pub.), vol. response (pvt.)"
"477","2012-13","Washington","Kindergarten",87773,"mmr","91.7",94.7,"Census"
"478","2011-12","Washington","Kindergarten",85134,"mmr","91.8",89.1,"Voluntary Response"
"479","2010-11","Washington","Kindergarten",NA,"mmr",NA,NA,NA
"480","2009-10","Washington","Kindergarten",81511,"mmr","91.7",93.3,"Census"
"481","2014-15","Washington","Kindergarten",88809,"mmr","89.4",96.7,"Census (public); Voluntary response (private)"
"482","2013-14","Washington","Kindergarten",89165,"mmr","89.7",88.5,"Voluntary response"
"483","2009-10","Washington","Kindergarten",81511,"dtap","91.6",93.3,"Census"
"484","2016-17","Washington","Kindergarten",87142,"dtap","90.8",98.2,"Census"
"485","2015-16","Washington","Kindergarten",86492,"dtap","91.1",97.3,"Census"
"486","2014-15","Washington","Kindergarten",88809,"dtap","90.7",96.7,"Census (public); Voluntary response (private)"
"487","2021-22","Washington","Kindergarten",87256,"varicella","NReq",97.3,"Census (pub.), vol. response (pvt.)"
"488","2009-10","Washington","Kindergarten",81511,"varicella","88.6",93.3,"Census"
"489","2013-14","Washington","Kindergarten",89165,"varicella","88.4",88.5,"Voluntary response"
"490","2012-13","Washington","Kindergarten",87773,"varicella","90.3",94.7,"Census"
"491","2011-12","Washington","Kindergarten",85134,"varicella","90.4",89.1,"Voluntary Response"
"492","2010-11","Washington","Kindergarten",NA,"varicella",NA,NA,NA
"493","2014-15","Washington","Kindergarten",88809,"varicella","87.9",96.7,"Census (public); Voluntary response (private)"
"494","2015-16","Washington","Kindergarten",86492,"varicella","89.4",97.3,"Census"
"495","2016-17","Washington","Kindergarten",87142,"varicella","89.3",98.2,"Census"
"496","2020-21","Washington","Kindergarten",74931,"varicella","93.2",100,"Census"
"497","2019-20","Washington","Kindergarten",87757,"varicella","92.7",91.9,"Census"
"498","2018-19","Washington","Kindergarten",87510,"varicella","89.7",96.9,"Census"
"499","2017-18","Washington","Kindergarten",85118,"varicella","89.4",96.9,"Census"
"500","2021-22","Washington","Kindergarten",87256,"varicella","91.3",97.3,"Census (pub.), vol. response (pvt.)"
"501","2009-10","Washington","Kindergarten",81511,"hep_b","92.8",93.3,"Census"
"502","2015-16","Washington","Kindergarten",86492,"hep_b","92.7",97.3,"Census"
"503","2014-15","Washington","Kindergarten",88809,"hep_b","91.9",96.7,"Census (public); Voluntary response (private)"
"504","2016-17","Washington","Kindergarten",87142,"hep_b","90.2",98.2,"Census"
"505","2013-14","Washington","Kindergarten",89165,"hep_b","91.8",88.5,"Voluntary response"
"506","2012-13","Washington","Kindergarten",87773,"hep_b","93.4",94.7,"Census"
"507","2010-11","Washington","Kindergarten",NA,"hep_b",NA,NA,NA
"508","2011-12","Washington","Kindergarten",85134,"hep_b","93.0",89.1,"Voluntary Response"
"509","2020-21","Washington","Kindergarten",74931,"dtap","93.2",100,"Census"
"510","2021-22","Washington","Kindergarten",87256,"dtap","91.4",97.3,"Census (pub.), vol. response (pvt.)"
"511","2018-19","Washington","Kindergarten",87510,"dtap","90.8",96.9,"Census"
"512","2019-20","Washington","Kindergarten",87757,"dtap","92.8",91.9,"Census"
"513","2017-18","Washington","Kindergarten",85118,"dtap","90.7",96.9,"Census"
"514","2012-13","Washington","Kindergarten",87773,"varicella",NA,94.7,"Census"
"515","2014-15","Washington","Kindergarten",88809,"varicella",NA,96.7,"Census (public); Voluntary response (private)"
"516","2013-14","Washington","Kindergarten",89165,"varicella",NA,88.5,"Voluntary response"
"517","2020-21","Washington","Kindergarten",74931,"varicella","NReq",100,"Census"
"518","2019-20","Washington","Kindergarten",87757,"varicella","NReq",91.9,"Census"
"519","2011-12","Washington","Kindergarten",85134,"varicella",NA,89.1,"Voluntary Response"
"520","2015-16","Washington","Kindergarten",86492,"varicella",NA,97.3,"Census"
"521","2010-11","Washington","Kindergarten",NA,"varicella",NA,NA,NA
"522","2009-10","Washington","Kindergarten",81511,"varicella",NA,93.3,"Census"
