Session Title,Number of ED Encounters by State of Residence (U.S.) and Age at Time of Visit Range,,,
Session Description,"All ED Enouncters as base,Slice by 53 states of residenceSlice by 6 age groups",,,
Session ID,2726769,,,
Data Model,ED Encounters,,,
Population Base,All ED Encounters,,,
Population Criteria Filters: These criteria are a summary and do not fully reflect the content of the exported session.,,,,
Session Date Range,1/1/2023 12:00 AM - 7/17/2025 12:00 AM (Based On Arrival Date),,,
Measure,Number of ED Encounters,,,
Export User,Stephanie Perniciaro,,,
Date of Export,7/28/2025,,,
,,,,
,,,,
,,,,Number of ED Encounters
State of Residence (U.S.),Age at Time of Visit,Year,Week,
Ohio,Less than 1 Years,2023,Jan 1 – Jan 7,1211
,,,Jan 8 – Jan 14,1037
,,,Jan 15 – Jan 21,958
,,,Jan 22 – Jan 28,1021
,,,Jan 29 – Feb 4,1039
,,,Feb 5 – Feb 11,1068
,,,Feb 12 – Feb 18,1124
,,,Feb 19 – Feb 25,1172
,,,Feb 26 – Mar 4,1067
,,,Mar 5 – Mar 11,1162
,,,Mar 12 – Mar 18,1213
,,,Mar 19 – Mar 25,1255
,,,Mar 26 – Apr 1,1224
,,,Apr 2 – Apr 8,1149
,,,Apr 9 – Apr 15,1139
,,,Apr 16 – Apr 22,1132
,,,Apr 23 – Apr 29,1062
,,,Apr 30 – May 6,1077
,,,May 7 – May 13,1042
,,,May 14 – May 20,1070
,,,May 21 – May 27,1058
,,,May 28 – Jun 3,1070
,,,Jun 4 – Jun 10,963
,,,Jun 11 – Jun 17,964
,,,Jun 18 – Jun 24,869
,,,Jun 25 – Jul 1,888
,,,Jul 2 – Jul 8,867
,,,Jul 9 – Jul 15,885
,,,Jul 16 – Jul 22,920
,,,Jul 23 – Jul 29,900
,,,Jul 30 – Aug 5,892
,,,Aug 6 – Aug 12,963
,,,Aug 13 – Aug 19,996
,,,Aug 20 – Aug 26,956
,,,Aug 27 – Sep 2,1132
,,,Sep 3 – Sep 9,1290
,,,Sep 10 – Sep 16,1196
,,,Sep 17 – Sep 23,1127
,,,Sep 24 – Sep 30,1080
,,,Oct 1 – Oct 7,1265
,,,Oct 8 – Oct 14,1317
,,,Oct 15 – Oct 21,1342
,,,Oct 22 – Oct 28,1418
,,,Oct 29 – Nov 4,1433
,,,Nov 5 – Nov 11,1627
,,,Nov 12 – Nov 18,1736
,,,Nov 19 – Nov 25,1806
,,,Nov 26 – Dec 2,2071
,,,Dec 3 – Dec 9,1889
,,,Dec 10 – Dec 16,1922
,,,Dec 17 – Dec 23,2053
,,,Dec 24 – Dec 30,2349
,,2023 – 2024,Dec 31 – Jan 6,2020
,,2024,Jan 7 – Jan 13,1513
,,,Jan 14 – Jan 20,1368
,,,Jan 21 – Jan 27,1447
,,,Jan 28 – Feb 3,1395
,,,Feb 4 – Feb 10,1424
,,,Feb 11 – Feb 17,1358
,,,Feb 18 – Feb 24,1450
,,,Feb 25 – Mar 2,1326
,,,Mar 3 – Mar 9,1264
,,,Mar 10 – Mar 16,1345
,,,Mar 17 – Mar 23,1313
,,,Mar 24 – Mar 30,1407
,,,Mar 31 – Apr 6,1276
,,,Apr 7 – Apr 13,1266
,,,Apr 14 – Apr 20,1203
,,,Apr 21 – Apr 27,1245
,,,Apr 28 – May 4,1345
,,,May 5 – May 11,1195
,,,May 12 – May 18,1211
,,,May 19 – May 25,1219
,,,May 26 – Jun 1,1230
,,,Jun 2 – Jun 8,1110
,,,Jun 9 – Jun 15,1008
,,,Jun 16 – Jun 22,1004
,,,Jun 23 – Jun 29,998
,,,Jun 30 – Jul 6,980
,,,Jul 7 – Jul 13,1027
,,,Jul 14 – Jul 20,1051
,,,Jul 21 – Jul 27,1053
,,,Jul 28 – Aug 3,1083
,,,Aug 4 – Aug 10,1084
,,,Aug 11 – Aug 17,1118
,,,Aug 18 – Aug 24,1106
,,,Aug 25 – Aug 31,1213
,,,Sep 1 – Sep 7,1367
,,,Sep 8 – Sep 14,1269
,,,Sep 15 – Sep 21,1200
,,,Sep 22 – Sep 28,1163
,,,Sep 29 – Oct 5,1202
,,,Oct 6 – Oct 12,1156
,,,Oct 13 – Oct 19,1238
,,,Oct 20 – Oct 26,1389
,,,Oct 27 – Nov 2,1305
,,,Nov 3 – Nov 9,1407
,,,Nov 10 – Nov 16,1474
,,,Nov 17 – Nov 23,1410
,,,Nov 24 – Nov 30,1613
,,,Dec 1 – Dec 7,1735
,,,Dec 8 – Dec 14,1661
,,,Dec 15 – Dec 21,1755
,,,Dec 22 – Dec 28,2142
,,2024 – 2025,Dec 29 – Jan 4,2241
,,2025,Jan 5 – Jan 11,1541
,,,Jan 12 – Jan 18,1387
,,,Jan 19 – Jan 25,1409
,,,Jan 26 – Feb 1,1467
,,,Feb 2 – Feb 8,1555
,,,Feb 9 – Feb 15,1642
,,,Feb 16 – Feb 22,1466
,,,Feb 23 – Mar 1,1351
,,,Mar 2 – Mar 8,1272
,,,Mar 9 – Mar 15,1389
,,,Mar 16 – Mar 22,1281
,,,Mar 23 – Mar 29,1328
,,,Mar 30 – Apr 5,1353
,,,Apr 6 – Apr 12,1284
,,,Apr 13 – Apr 19,1314
,,,Apr 20 – Apr 26,1279
,,,Apr 27 – May 3,1257
,,,May 4 – May 10,1169
,,,May 11 – May 17,1207
,,,May 18 – May 24,1299
,,,May 25 – May 31,1219
,,,Jun 1 – Jun 7,1192
,,,Jun 8 – Jun 14,1177
,,,Jun 15 – Jun 21,1026
,,,Jun 22 – Jun 28,1140
,,,Jun 29 – Jul 5,1037
,,,Jul 6 – Jul 12,1065
,,,Jul 13 – Jul 17,10 or fewer
,≥ 1 and < 5 Years,2023,Jan 1 – Jan 7,2820
,,,Jan 8 – Jan 14,2580
,,,Jan 15 – Jan 21,2699
,,,Jan 22 – Jan 28,2893
,,,Jan 29 – Feb 4,2916
,,,Feb 5 – Feb 11,3124
,,,Feb 12 – Feb 18,3384
,,,Feb 19 – Feb 25,3427
,,,Feb 26 – Mar 4,3407
,,,Mar 5 – Mar 11,3498
,,,Mar 12 – Mar 18,3465
,,,Mar 19 – Mar 25,3550
,,,Mar 26 – Apr 1,3582
,,,Apr 2 – Apr 8,3471
,,,Apr 9 – Apr 15,3420
,,,Apr 16 – Apr 22,3390
,,,Apr 23 – Apr 29,3245
,,,Apr 30 – May 6,3371
,,,May 7 – May 13,3514
,,,May 14 – May 20,3401
,,,May 21 – May 27,3338
,,,May 28 – Jun 3,3295
,,,Jun 4 – Jun 10,3242
,,,Jun 11 – Jun 17,2953
,,,Jun 18 – Jun 24,2801
,,,Jun 25 – Jul 1,2814
,,,Jul 2 – Jul 8,2858
,,,Jul 9 – Jul 15,2762
,,,Jul 16 – Jul 22,2747
,,,Jul 23 – Jul 29,2713
,,,Jul 30 – Aug 5,2803
,,,Aug 6 – Aug 12,2714
,,,Aug 13 – Aug 19,2698
,,,Aug 20 – Aug 26,2805
,,,Aug 27 – Sep 2,2998
,,,Sep 3 – Sep 9,3436
,,,Sep 10 – Sep 16,3156
,,,Sep 17 – Sep 23,3237
,,,Sep 24 – Sep 30,3226
,,,Oct 1 – Oct 7,3660
,,,Oct 8 – Oct 14,3517
,,,Oct 15 – Oct 21,3492
,,,Oct 22 – Oct 28,3745
,,,Oct 29 – Nov 4,3814
,,,Nov 5 – Nov 11,4158
,,,Nov 12 – Nov 18,4267
,,,Nov 19 – Nov 25,4508
,,,Nov 26 – Dec 2,4344
,,,Dec 3 – Dec 9,4394
,,,Dec 10 – Dec 16,4719
,,,Dec 17 – Dec 23,4954
,,,Dec 24 – Dec 30,5180
,,2023 – 2024,Dec 31 – Jan 6,4177
,,2024,Jan 7 – Jan 13,3722
,,,Jan 14 – Jan 20,3443
,,,Jan 21 – Jan 27,3449
,,,Jan 28 – Feb 3,3747
,,,Feb 4 – Feb 10,4082
,,,Feb 11 – Feb 17,4146
,,,Feb 18 – Feb 24,4340
,,,Feb 25 – Mar 2,4085
,,,Mar 3 – Mar 9,3979
,,,Mar 10 – Mar 16,3864
,,,Mar 17 – Mar 23,3783
,,,Mar 24 – Mar 30,3921
,,,Mar 31 – Apr 6,3564
,,,Apr 7 – Apr 13,3647
,,,Apr 14 – Apr 20,3478
,,,Apr 21 – Apr 27,3605
,,,Apr 28 – May 4,3828
,,,May 5 – May 11,3662
,,,May 12 – May 18,3646
,,,May 19 – May 25,3631
,,,May 26 – Jun 1,3593
,,,Jun 2 – Jun 8,3057
,,,Jun 9 – Jun 15,2816
,,,Jun 16 – Jun 22,2869
,,,Jun 23 – Jun 29,2911
,,,Jun 30 – Jul 6,2675
,,,Jul 7 – Jul 13,2802
,,,Jul 14 – Jul 20,2748
,,,Jul 21 – Jul 27,2779
,,,Jul 28 – Aug 3,2655
,,,Aug 4 – Aug 10,2712
,,,Aug 11 – Aug 17,2685
,,,Aug 18 – Aug 24,2737
,,,Aug 25 – Aug 31,3009
,,,Sep 1 – Sep 7,3180
,,,Sep 8 – Sep 14,3228
,,,Sep 15 – Sep 21,3076
,,,Sep 22 – Sep 28,3008
,,,Sep 29 – Oct 5,3138
,,,Oct 6 – Oct 12,3304
,,,Oct 13 – Oct 19,3300
,,,Oct 20 – Oct 26,3744
,,,Oct 27 – Nov 2,3540
,,,Nov 3 – Nov 9,3680
,,,Nov 10 – Nov 16,3592
,,,Nov 17 – Nov 23,3929
,,,Nov 24 – Nov 30,3944
,,,Dec 1 – Dec 7,3845
,,,Dec 8 – Dec 14,4111
,,,Dec 15 – Dec 21,4628
,,,Dec 22 – Dec 28,5092
,,2024 – 2025,Dec 29 – Jan 4,4504
,,2025,Jan 5 – Jan 11,3251
,,,Jan 12 – Jan 18,3252
,,,Jan 19 – Jan 25,3481
,,,Jan 26 – Feb 1,3963
,,,Feb 2 – Feb 8,4442
,,,Feb 9 – Feb 15,4490
,,,Feb 16 – Feb 22,3882
,,,Feb 23 – Mar 1,3717
,,,Mar 2 – Mar 8,3674
,,,Mar 9 – Mar 15,3677
,,,Mar 16 – Mar 22,3457
,,,Mar 23 – Mar 29,3635
,,,Mar 30 – Apr 5,3493
,,,Apr 6 – Apr 12,3238
